time,action,migration_cost,latency,throughput,cpu_variance,mig_attempts,mig_successes,reward
4.85,0,482973,3.574,0.279798,0.42,1821941530807317,30175983486270,2.8103
8.18,0,465946,2.01,0.497512,0.07,965973935731,14598493922,4.9895
11.02,0,448919,1.527,0.654878,0.17,491604046558,8350221838,6.564
13.73,0,431892,1.385,0.722021,0.97,376173051648,6419007930,7.2276
17.12,0,414865,2.046,0.488758,0.04,318909414330,5861679271,4.9055
19.81,0,397838,1.371,0.729394,0.5,516855153367,8530990230,7.3054
23.56,0,380811,2.45,0.408163,0.95,338905143067,5803508254,4.0893
26.18,0,363784,1.306,0.765696,0.13,610421494755,10051211752,7.6721
29.97,0,346757,2.474,0.404204,0.61,324599250479,5517363821,4.0529
33.44,0,329730,2.149,0.465332,0.31,623065392936,10181334393,4.6665
36.67,0,312703,1.927,0.518941,0.46,536666367649,8875619726,5.2014
40.01,0,295676,2.027,0.49334,0.1,462934255315,7997766084,4.9496
42.85,0,278649,1.536,0.651041,0.21,528139338059,8393962404,6.5242
45.65,0,261622,1.476,0.677506,0.37,366184549355,6406405360,6.7888
49.22,0,244595,2.252,0.44405,0.41,367666663865,6213166938,4.4532
52.7,0,227568,2.16,0.462963,0.26,575320734665,9305349483,4.6432
55.52,0,210541,1.553,0.643915,0.65,543990898777,8959224585,6.4491
58.12,0,193514,1.276,0.783698,0.11,364877327225,6452647355,7.8536
61.44,0,176487,2.006,0.498504,1.74,302029474763,5420517206,4.9856
64.9,0,159460,2.172,0.460405,0.35,471172361711,8305184336,4.6182
68.43,0,142433,2.211,0.452284,0.57,537895350556,8944586408,4.5338
71.85,0,125406,2.094,0.477555,0.27,522388476021,9217134755,4.7905
75.19,0,108379,2.012,0.497018,0.35,533352804440,8693908910,4.983
77.91,0,91352,1.39,0.719424,0.91,456458008549,8393791802,7.2035
81.61,0,74325,2.381,0.419991,1.29,326425857212,5923197834,4.2052
85.15,0,57298,2.216,0.451263,0.37,614734936181,9815243460,4.5249
88.86,0,40271,2.401,0.416493,0.35,524670819834,9212987932,4.179
92.03,0,23244,1.858,0.538213,1.38,619120207678,9901368768,5.3844
95.32,0,6217,1.967,0.508388,0.23,450362864004,7747137260,5.0988
98.2,0,0,1.543,0.648088,0.41,487669203674,8175425686,6.4936
101.6,0,0,2.097,0.476871,0.77,365970953399,6527825920,4.7788
105.03,0,0,2.111,0.473709,0.45,528959064391,8707000543,4.749
108.57,0,0,2.244,0.445633,0.2,546456253876,8819375464,4.4704
111.15,0,0,1.253,0.798084,1.06,528662973694,9275586004,7.9877
113.73,0,0,1.267,0.789265,1.45,289335350198,5356566509,7.8967
116.73,0,0,1.687,0.592768,2.07,283177302787,5380454219,5.926
120.21,0,0,2.159,0.463177,0.56,433926301828,7083302079,4.6425
123.41,0,0,1.87,0.534759,0.46,488227714329,8988912091,5.3614
