time,action,migration_cost,latency,throughput,cpu_variance,mig_attempts,mig_successes,reward
2.16,-1,500000,1.936,0.516529,0.59,1865735782243097,30918685718887,5.1759
4.5,-1,500000,2.088,0.478927,2.51,468692118284,8010305920,4.7813
7.1,-1,500000,2.357,0.424268,1.83,520229244861,8604275473,4.241
9.73,-1,500000,2.364,0.423012,0.77,682045808435,9636749057,4.2365
11.8,-1,500000,1.823,0.548546,1.18,594655814882,9696981496,5.49
13.81,-1,500000,1.758,0.568828,0.55,449497786002,7506274163,5.6995
15.84,-1,500000,1.767,0.565931,1.05,461770591940,7263976554,5.6645
18.26,-1,500000,2.178,0.459137,0.63,427181509745,7327094914,4.6022
20.82,-1,500000,2.281,0.438404,0.69,543641756273,8920103475,4.3936
22.49,-1,500000,1.419,0.704721,2.05,545582742348,9397741850,7.0439
24.29,-1,500000,1.54,0.64935,1.61,340054346087,5926840652,6.4948
26.12,-1,500000,1.585,0.630914,3.12,370902248373,6402111644,6.2952
28.15,-1,500000,1.772,0.564334,3.08,384843599085,6548652896,5.6295
30.11,-1,500000,1.656,0.603864,2.45,421776948114,7322662125,6.0315
32.69,-1,500000,2.332,0.428816,3.39,429869142789,6955856731,4.2704
35.03,-1,500000,2.091,0.47824,0.7,593799889458,9567086702,4.7915
37.04,-1,500000,1.753,0.57045,0.68,500914468674,8573905545,5.7148
39.29,-1,500000,1.973,0.506842,0.55,428634403434,7259905751,5.0799
41.76,-1,500000,2.235,0.447427,1.38,499284693756,8206949636,4.477
44.42,-1,500000,2.408,0.415282,0.86,533402796965,9148353325,4.1614
46.75,-1,500000,2.061,0.485201,0.66,573595943531,9842641657,4.8626
48.53,-1,500000,1.551,0.644745,2.38,488260776812,8490048062,6.4411
50.1,-1,500000,1.321,0.757002,3.23,392207395957,6353203597,7.5539
52.26,-1,500000,1.891,0.52882,2.51,312781167688,5502469761,5.2807
53.87,-1,500000,1.346,0.742941,1.61,455179566802,7848802667,7.4305
